Yolo squad
InfantryUnit, Legionnare, 100
CavalryUnit, Swordman, 100
RangedUnit, Serviceman, 100
CommanderUnit, Archer, 180
InfantryUnit, Legionnare, 100
CavalryUnit, Swordman, 100
RangedUnit, Serviceman, 100
CommanderUnit, Archer, 180
InfantryUnit, Legionnare, 100
CavalryUnit, Swordman, 100
RangedUnit, Serviceman, 100
CommanderUnit, Archer, 180
InfantryUnit, Legionnare, 100
CavalryUnit, Swordman, 100
RangedUnit, Serviceman, 100
CommanderUnit, Archer, 180
InfantryUnit, Legionnare, 100
CavalryUnit, Swordman, 100
RangedUnit, Serviceman, 100
CommanderUnit, Archer, 180
InfantryUnit, Legionnare, 100
CavalryUnit, Swordman, 100
RangedUnit, Serviceman, 100
CommanderUnit, Archer, 180
InfantryUnit, Legionnare, 100
CavalryUnit, Swordman, 100
RangedUnit, Serviceman, 100
CommanderUnit, Archer, 180
InfantryUnit, Legionnare, 100
CavalryUnit, Swordman, 100
RangedUnit, Serviceman, 100
CommanderUnit, Archer, 180
InfantryUnit, Legionnare, 100
CavalryUnit, Swordman, 100
RangedUnit, Serviceman, 100
CommanderUnit, Archer, 180
InfantryUnit, Legionnare, 100
CavalryUnit, Swordman, 100
RangedUnit, Serviceman, 100
CommanderUnit, Archer, 180
